timestamp,open,high,low,close,volume,sma_20,signal,balance_usdt,balance_btc,total_balance
2023-06-01 00:00:00,27210.36,27350.0,27023.35,27065.77,2772.82443,,0,500.0,0.01,770.6577
2023-06-01 01:00:00,27065.76,27165.47,27059.74,27078.56,1785.47203,,0,500.0,0.01,770.7856
2023-06-01 02:00:00,27078.56,27114.16,26640.0,26719.26,3775.37874,,0,500.0,0.01,767.1926
2023-06-01 03:00:00,26719.26,26838.89,26605.05,26779.94,2879.51275,,0,500.0,0.01,767.7994
2023-06-01 04:00:00,26779.93,26822.81,26746.0,26804.15,1223.77081,,0,500.0,0.01,768.0415
2023-06-01 05:00:00,26804.14,26863.62,26784.89,26849.2,786.7396,,0,500.0,0.01,768.492
2023-06-01 06:00:00,26849.2,26883.6,26778.08,26785.13,1305.19049,,0,500.0,0.01,767.8513
2023-06-01 07:00:00,26785.14,26864.09,26764.16,26802.67,1298.07343,,0,500.0,0.01,768.0267
2023-06-01 08:00:00,26802.66,26922.76,26790.96,26912.53,1139.4347,,0,500.0,0.01,769.1252999999999
2023-06-01 09:00:00,26912.54,26951.07,26899.54,26908.63,1023.37411,,0,500.0,0.01,769.0862999999999
2023-06-01 10:00:00,26908.63,26934.83,26858.33,26860.0,894.7211,,0,500.0,0.01,768.6
2023-06-01 11:00:00,26860.0,26905.02,26841.65,26892.96,1218.03791,,0,500.0,0.01,768.9295999999999
2023-06-01 12:00:00,26892.95,26964.88,26782.53,26941.79,1939.00748,,0,500.0,0.01,769.4179
2023-06-01 13:00:00,26941.8,26971.07,26867.95,26891.74,1377.22419,,0,500.0,0.01,768.9174
2023-06-01 14:00:00,26891.74,26981.34,26833.01,26898.08,2050.06214,,0,500.0,0.01,768.9808
2023-06-01 15:00:00,26898.07,26947.24,26860.01,26894.48,1115.38165,,0,500.0,0.01,768.9448
2023-06-01 16:00:00,26894.47,27175.0,26795.06,27092.08,3182.53568,,0,500.0,0.01,770.9208000000001
2023-06-01 17:00:00,27092.07,27137.42,26916.29,26956.94,2445.80688,,0,500.0,0.01,769.5694
2023-06-01 18:00:00,26956.93,27048.43,26938.06,26964.77,907.67826,,0,500.0,0.01,769.6477
